X	Y	occurrencedate	premisetype	occurrencedayofweek	occurrencehour	Division	Neighbourhood
-79.3373184	43.6804237	2016-04-30T04:00:00.000Z	Commercial	Saturday  	15	D55	Danforth (66)
-79.5538101	43.661869	2016-05-13T04:00:00.000Z	House	Friday    	3	D22	Princess-Rosethorn (10)
-79.5655136	43.709156	2016-05-14T04:00:00.000Z	Outside	Saturday  	22	D23	West Humber-Clairville (1)
-79.473381	43.7742805	2015-11-26T05:00:00.000Z	Commercial	Thursday  	10	D32	York University Heights (27)
-79.4556808	43.7182617	2016-05-12T04:00:00.000Z	Commercial	Thursday  	14	D32	Yorkdale-Glen Park (31)
-79.4174118	43.7149734	2016-05-14T04:00:00.000Z	House	Saturday  	4	D53	Lawrence Park South (103)
-79.5071182	43.698288	2016-05-16T04:00:00.000Z	House	Monday    	3	D12	Brookhaven-Amesbury (30)
-79.5065994	43.6484261	2016-05-15T04:00:00.000Z	Commercial	Sunday    	22	D22	Kingsway South (15)
-79.3837662	43.6557198	2016-05-16T04:00:00.000Z	Outside	Monday    	14	D52	Bay Street Corridor (76)
-79.5354538	43.734333	2016-05-16T04:00:00.000Z	House	Monday    	22	D31	Humbermede (22)
-79.5066452	43.7038956	2016-05-16T04:00:00.000Z	House	Monday    	21	D12	Weston (113)
-79.4366837	43.6661072	2016-05-18T04:00:00.000Z	Outside	Wednesday 	19	D14	Dovercourt-Wallace Emerson-Junction (93)
-79.3832016	43.6543198	2015-09-24T04:00:00.000Z	Outside	Thursday  	23	D52	Bay Street Corridor (76)
-79.3832016	43.6543198	2015-09-24T04:00:00.000Z	Outside	Thursday  	23	D52	Bay Street Corridor (76)
-79.3832016	43.6543198	2015-09-24T04:00:00.000Z	Outside	Thursday  	23	D52	Bay Street Corridor (76)
-79.3832016	43.6543198	2015-09-24T04:00:00.000Z	Outside	Thursday  	23	D52	Bay Street Corridor (76)
-79.4521103	43.6709137	2016-05-19T04:00:00.000Z	House	Thursday  	0	D11	Weston-Pellam Park (91)
-79.3192749	43.7411842	2016-05-20T04:00:00.000Z	Commercial	Friday    	11	D33	Parkwoods-Donalda (45)
-79.2638855	43.7050819	2016-05-21T04:00:00.000Z	Commercial	Saturday  	0	D41	Clairlea-Birchmount (120)
-79.5124817	43.6855164	2016-05-21T04:00:00.000Z	Outside	Saturday  	0	D23	Humber Heights-Westmount (8)
-79.5704117	43.676342	2016-05-22T04:00:00.000Z	Outside	Sunday    	22	D23	Willowridge-Martingrove-Richview (7)
-79.2353821	43.7072182	2016-05-15T04:00:00.000Z	Outside	Sunday    	13	D41	Cliffcrest (123)
-79.4959564	43.7088013	2016-05-24T04:00:00.000Z	House	Tuesday   	23	D12	Rustic (28)
-79.5784149	43.6898994	2016-05-18T04:00:00.000Z	Outside	Wednesday 	5	D23	West Humber-Clairville (1)
-79.290062	43.6871414	2016-04-25T04:00:00.000Z	Outside	Monday    	0	D55	East End-Danforth (62)
-79.5756302	43.7019501	2016-04-08T04:00:00.000Z	Outside	Friday    	11	D23	West Humber-Clairville (1)
-79.5756302	43.7019501	2016-04-08T04:00:00.000Z	Outside	Friday    	11	D23	West Humber-Clairville (1)
-79.2049789	43.7826042	2015-04-03T04:00:00.000Z	Outside	Friday    	21	D43	Morningside (135)
-79.146904	43.7783012	2015-04-22T04:00:00.000Z	House	Wednesday 	21	D43	Centennial Scarborough (133)
-79.1899033	43.771389	2017-07-24T04:00:00.000Z	House	Monday    	9	D43    	West Hill (136)
-79.3506165	43.6430931	2017-10-17T04:00:00.000Z	Outside	Tuesday   	13	D51    	South Riverdale (70)
-79.1947403	43.7620163	2017-12-08T05:00:00.000Z	Commercial	Friday    	23	D43    	West Hill (136)
-79.3740005	43.796299	2017-07-17T04:00:00.000Z	House	Monday    	2	D33    	Bayview Woods-Steeles (49)
-79.3693085	43.6639938	2017-10-10T04:00:00.000Z	House	Tuesday   	18	D51    	Cabbagetown-South St.James Town (71)
